gene_name,logFC,logCPM,PValue,FDR,Condition
ENSG00000134539,-0.794587056387111,7.57472341598779,0.00583989908713869,1,Control
ENSG00000077984,-0.75804328162667,6.56191516584773,0.00591794823856285,1,Control
ENSG00000099139,-2.50639295969293,7.45506378813753,0.00689274004635291,1,Control
ENSG00000100453,-1.14352319285952,6.24245939126458,0.00768507315464855,1,Control
ENSG00000100385,-0.615383245983323,6.53670144320552,0.00789079548241309,1,Control
ENSG00000180644,-0.853477577837449,8.70593373028128,0.0102183131188701,1,Control
ENSG00000172543,-0.73186323715285,6.47901209194745,0.0111775899060375,1,Control
ENSG00000185697,-0.819739017121338,6.09912274402627,0.0117089317287349,1,Control
ENSG00000111670,-0.598732294142405,6.51272959311353,0.013001074623914,1,Control
ENSG00000106799,-0.345098913084144,6.93947230933324,0.013039416545817,1,Control
ENSG00000267519,-0.40987317729272,6.48819022259666,0.0133810567155704,1,Control
ENSG00000170345,-0.661612155441828,6.32630698131493,0.0166479797952249,1,Control
ENSG00000105374,-0.821646588689356,7.79834557248688,0.0170349914420999,1,Control
ENSG00000198712,-0.450945104015201,6.59381639872731,0.0182621611071889,1,Control
ENSG00000186469,-0.428370017185696,7.17946056805737,0.0197511694313808,1,Control
ENSG00000211829,-0.95812664467475,5.14978590230429,0.0209155347269953,1,Control
ENSG00000020633,-0.594018616908136,6.3447775294267,0.0211304268326564,1,Control
ENSG00000100450,-0.969718837723496,6.61425746103901,0.0214414880008025,1,Control
ENSG00000072736,-0.360078739586601,7.25784657042576,0.0246035528649121,1,Control
ENSG00000137441,-0.950828636732624,6.13018903859499,0.0250691590973565,1,Control
ENSG00000137501,-0.680256331231816,5.85365010320849,0.0267846439927,1,Control
ENSG00000150637,-0.436478795635615,6.83558238233622,0.0278263193695177,1,Control
ENSG00000198821,-0.611601988690598,7.01304282515726,0.0283219781240614,1,Control
ENSG00000180739,-0.790502625619984,5.71374592132615,0.0296197167270544,1,Control
ENSG00000188042,-0.584493555579754,7.25001997724027,0.0337730911166755,1,Control
ENSG00000137267,0.805985776834785,6.69689915888815,0.0363198752562514,1,Control
ENSG00000101096,-0.575140291635438,6.22526840320009,0.0377453578095571,1,Control
ENSG00000205336,-0.733323369356232,6.08045615218583,0.0399301586677807,1,Control
ENSG00000027075,-0.433776497948788,7.29686151159876,0.0401478948052051,1,Control
ENSG00000145649,-0.865884871980155,5.84049265144429,0.042857772668506,1,Control
ENSG00000135362,-0.60512297663093,6.1408207647926,0.0440655289393067,1,Control
ENSG00000280138,-0.408825790094673,6.08182555621914,0.0463084137117829,1,Control
