gene_name,logFC,logCPM,PValue,FDR,Condition
ENSG00000132965,0.668205736245525,6.40717858473395,0.0114896065581518,0.997933614945331,CMS PreHem Vs. Control
ENSG00000112303,0.724313525421141,8.48521715218828,0.0204178267141891,0.997933614945331,CMS PreHem Vs. Control
ENSG00000134321,-2.04379185457364,5.90351979886337,0.0239619415996932,0.997933614945331,CMS PreHem Vs. Control
ENSG00000197965,0.727958057481877,6.05021213390166,0.0263816494125482,0.997933614945331,CMS PreHem Vs. Control
ENSG00000066027,0.380582834663236,6.51426326751557,0.0275028411089768,0.997933614945331,CMS PreHem Vs. Control
ENSG00000187116,0.672376162003701,6.10167108235558,0.0323722669750332,0.997933614945331,CMS PreHem Vs. Control
ENSG00000259207,-0.919165814392398,6.93491541434132,0.0418981413818227,0.997933614945331,CMS PreHem Vs. Control
ENSG00000137959,-1.61583297002274,5.21993075991237,0.045351950178107,0.997933614945331,CMS PreHem Vs. Control
ENSG00000101474,0.367505910982136,7.05867292432914,0.0458424131059175,0.997933614945331,CMS PreHem Vs. Control
ENSG00000134326,-1.30047692925991,4.41028379381433,0.0512096979519604,0.997933614945331,CMS PreHem Vs. Control
ENSG00000128487,-0.619791118581158,7.76265634921776,0.0573325991436666,0.997933614945331,CMS PreHem Vs. Control
ENSG00000064012,0.242645778499198,7.03593751339167,0.0582249173800107,0.997933614945331,CMS PreHem Vs. Control
ENSG00000117228,-0.697958934205745,6.59947372187771,0.0601953516474416,0.997933614945331,CMS PreHem Vs. Control
ENSG00000107798,-0.463713640592141,6.08175229691554,0.0605058429592777,0.997933614945331,CMS PreHem Vs. Control
ENSG00000159128,0.436527003975536,6.63721020246089,0.0630609528667228,0.997933614945331,CMS PreHem Vs. Control
ENSG00000185745,-1.46914083062752,6.00418724904139,0.0642525277453936,0.997933614945331,CMS PreHem Vs. Control
ENSG00000135932,0.262446430800844,7.2450275348524,0.066769323196466,0.997933614945331,CMS PreHem Vs. Control
ENSG00000267519,0.339074151244805,6.48819022259666,0.0689472853551376,0.997933614945331,CMS PreHem Vs. Control
